customer_id,customer_name,industry,city,customer_segment,credit_limit,payment_terms_days,account_status,contact_person,email,phone,created_at,total_orders,lifetime_sales
CUS-0044,Pak Corporation,Financial Services,Lahore,Enterprise,2970000,60,Active,Stephen Lopez,accounts44@example-business.pk,+92-340-8487636,2022-04-25,43,130012657.98
CUS-0045,Pacific Engineering,Logistics,Peshawar,Enterprise,2000000,60,Active,Adrian Thomas,accounts45@example-business.pk,+92-338-8072430,2022-12-20,44,92108947.39
CUS-0046,United Group,Healthcare,Islamabad,Enterprise,3890000,60,Active,Dr. Carl Gill,accounts46@example-business.pk,+92-330-4636117,2022-03-06,49,128771691.98
CUS-0047,Prime Enterprises,Retail,Lahore,Mid-Market,720000,30,Active,Megan Sanford,accounts47@example-business.pk,+92-322-6066828,2022-08-06,22,20098625.619999997
CUS-0048,Metro Trading,Hospitality,Faisalabad,Mid-Market,1630000,30,Active,Mr. Anthony Pitts,accounts48@example-business.pk,+92-318-5076828,2024-09-11,22,28692506.81
CUS-0049,Nexus Solutions,Manufacturing,Islamabad,Enterprise,2940000,45,Active,Donald Delgado,accounts49@example-business.pk,+92-345-5167071,2024-05-20,42,112790676.13
CUS-0050,United Manufacturing,Retail,Lahore,Enterprise,3050000,60,Active,Nicole Hansen,accounts50@example-business.pk,+92-343-2229098,2024-08-02,47,121416623.44
CUS-0051,Vertex Enterprises,Retail,Karachi,Mid-Market,1610000,30,On Hold,Steven Smith,accounts51@example-business.pk,+92-328-7086130,2024-01-08,1,816642.6
CUS-0052,Prime Group,Financial Services,Lahore,Mid-Market,1110000,45,Active,William Lopez,accounts52@example-business.pk,+92-315-1599091,2024-10-03,33,30967157.0
CUS-0053,United Industries,Financial Services,Islamabad,Mid-Market,1260000,45,Active,Lindsay Chen,accounts53@example-business.pk,+92-349-9636586,2022-02-25,27,24041494.98
CUS-0054,United Trading,Construction,Karachi,SMB,670000,15,Active,Joanna Pittman,accounts54@example-business.pk,+92-348-4027495,2024-01-16,15,7710613.85
CUS-0055,Metro Manufacturing,Technology,Karachi,Enterprise,4970000,60,Active,Dustin Wise,accounts55@example-business.pk,+92-334-8179049,2023-02-02,44,130836309.8
CUS-0056,Metro Supplies,Construction,Faisalabad,Mid-Market,1830000,45,Active,Maria Norris,accounts56@example-business.pk,+92-320-6082496,2024-12-04,24,19154116.96
CUS-0057,Pak Technologies,Technology,Gujranwala,SMB,610000,30,Active,Kyle Hudson,accounts57@example-business.pk,+92-339-7941257,2024-01-18,8,4398643.149999999
CUS-0058,National Services,Retail,Lahore,Mid-Market,1520000,45,Active,Crystal Campbell,accounts58@example-business.pk,+92-327-6872570,2023-04-04,26,35436715.06
CUS-0059,Global Trading,Retail,Karachi,Mid-Market,870000,30,Active,Daniel Chandler,accounts59@example-business.pk,+92-325-4692135,2022-03-07,25,25181948.87
CUS-0060,Alpha Trading,Manufacturing,Gujranwala,SMB,410000,15,Active,Barry Stafford MD,accounts60@example-business.pk,+92-347-2705502,2024-12-25,17,8220779.34
CUS-0061,United Supplies,Food & Beverage,Lahore,SMB,530000,30,Active,Natasha Sanders,accounts61@example-business.pk,+92-349-4804727,2022-09-15,13,3587760.27
CUS-0062,Royal Supplies,Logistics,Faisalabad,Mid-Market,1720000,45,Active,Joshua Shepard,accounts62@example-business.pk,+92-339-6637031,2023-11-08,23,19243529.77
CUS-0063,Falcon Solutions,Education,Faisalabad,Mid-Market,1540000,30,Active,Tina Armstrong,accounts63@example-business.pk,+92-339-3735052,2024-12-27,38,28654091.53
CUS-0064,Dynamic Manufacturing,Hospitality,Lahore,Enterprise,2170000,30,Active,Elizabeth Dunn,accounts64@example-business.pk,+92-332-2065393,2024-01-07,40,91846775.0
CUS-0065,Eastern Manufacturing,Retail,Lahore,SMB,300000,30,Active,Pamela Monroe,accounts65@example-business.pk,+92-343-4693289,2023-12-29,12,5851917.58
CUS-0066,Apex Manufacturing,Logistics,Karachi,SMB,530000,30,Active,Dawn Lucas,accounts66@example-business.pk,+92-319-2195094,2023-12-22,12,5136760.92
CUS-0067,Eastern Corporation,Retail,Lahore,Enterprise,4710000,60,Active,Douglas Munoz,accounts67@example-business.pk,+92-317-4917205,2025-02-11,38,85524433.81
CUS-0068,Eastern Engineering,Healthcare,Karachi,SMB,470000,30,Active,Scott Ryan,accounts68@example-business.pk,+92-322-2552742,2024-08-17,13,4079380.5
CUS-0069,National Trading,Financial Services,Karachi,Mid-Market,1030000,30,Active,Javier Goodwin,accounts69@example-business.pk,+92-348-3609332,2023-06-24,27,24820420.93
CUS-0070,United Enterprises,Hospitality,Karachi,SMB,150000,15,Active,Thomas Sandoval,accounts70@example-business.pk,+92-347-6823174,2022-02-13,9,6686974.37
CUS-0071,Eastern Services,Food & Beverage,Lahore,Mid-Market,1590000,30,Active,Cheryl Garrett,accounts71@example-business.pk,+92-338-7430073,2022-11-02,26,25255504.23
CUS-0072,Global Solutions,Healthcare,Lahore,Mid-Market,1490000,45,Active,Benjamin Christian,accounts72@example-business.pk,+92-345-6385846,2023-01-22,18,32654669.39
CUS-0073,Summit Industries,Food & Beverage,Peshawar,SMB,250000,30,Active,Randy Webb,accounts73@example-business.pk,+92-317-3398957,2024-02-23,9,3622371.25
CUS-0074,Pacific Supplies,Retail,Sialkot,Enterprise,3980000,30,Active,Jasmine Weiss,accounts74@example-business.pk,+92-344-1429331,2023-02-25,47,123081929.6
CUS-0075,Elite Trading,Financial Services,Sialkot,Enterprise,3400000,30,Active,Jasmine Hawkins,accounts75@example-business.pk,+92-315-4828396,2024-02-28,52,151456537.01999998
CUS-0076,Modern Services,Manufacturing,Multan,Mid-Market,1210000,45,Active,Thomas Ellis,accounts76@example-business.pk,+92-349-4034271,2022-07-21,23,34190740.19
CUS-0077,United Engineering,Hospitality,Islamabad,SMB,500000,15,Active,Laura Garcia,accounts77@example-business.pk,+92-313-8307760,2024-12-21,5,1613558.55
CUS-0078,Elite Technologies,Healthcare,Karachi,SMB,520000,15,Active,Richard Chapman,accounts78@example-business.pk,+92-321-8649845,2024-09-10,9,5150154.0
CUS-0079,Dynamic Solutions,Food & Beverage,Lahore,Mid-Market,860000,45,Active,Christopher Parrish,accounts79@example-business.pk,+92-327-9277043,2024-10-13,21,25134510.1
CUS-0080,Pacific Group,Healthcare,Lahore,SMB,180000,30,Active,Stacey Thompson,accounts80@example-business.pk,+92-345-3763672,2022-09-26,16,5977879.58
CUS-0081,Pacific Services,Technology,Faisalabad,Enterprise,2800000,60,Active,Jessica Simmons,accounts81@example-business.pk,+92-322-7485185,2022-02-24,42,80758682.15
CUS-0082,Falcon Services,Logistics,Lahore,SMB,320000,30,Active,Martin Armstrong,accounts82@example-business.pk,+92-316-9941735,2023-05-22,9,2211152.65
CUS-0083,Pak Industries,Healthcare,Karachi,Mid-Market,940000,30,Active,Andrew Thompson,accounts83@example-business.pk,+92-318-6330838,2022-01-19,25,28409771.18
CUS-0084,Summit Solutions,Manufacturing,Lahore,Mid-Market,1510000,30,Active,Shannon Lambert,accounts84@example-business.pk,+92-328-6935372,2022-01-01,24,23354820.88
CUS-0085,Prime Trading,Construction,Karachi,Enterprise,2180000,60,On Hold,Joseph Davidson,accounts85@example-business.pk,+92-344-8980972,2024-06-12,4,16387927.02
CUS-0086,Prime Technologies,Food & Beverage,Hyderabad,SMB,510000,15,Active,Tyler Lowery,accounts86@example-business.pk,+92-348-9744447,2025-01-20,8,3019858.68
CUS-0087,Alpha Manufacturing,Hospitality,Faisalabad,SMB,290000,30,Active,David Hill,accounts87@example-business.pk,+92-332-8357474,2022-06-14,8,4743606.95
CUS-0088,BlueWave Corporation,Financial Services,Lahore,Mid-Market,820000,30,Active,Susan Acevedo,accounts88@example-business.pk,+92-312-4715843,2022-11-03,22,22919117.77
CUS-0089,Falcon Corporation,Logistics,Lahore,Enterprise,3000000,45,Active,Joshua Gonzalez,accounts89@example-business.pk,+92-311-4214169,2023-05-01,43,112420660.56
CUS-0090,Royal Manufacturing,Construction,Sialkot,Mid-Market,1620000,30,Active,Mark Kelley,accounts90@example-business.pk,+92-333-8799686,2022-05-11,29,39345231.08
CUS-0091,Dynamic Technologies,Retail,Lahore,SMB,660000,30,Inactive,Tammy Medina,accounts91@example-business.pk,+92-320-6681063,2022-02-07,1,543093.53
CUS-0092,Nexus Technologies,Food & Beverage,Multan,Mid-Market,800000,30,Active,Kelly Velazquez,accounts92@example-business.pk,+92-331-1556173,2023-11-07,26,22126360.7
CUS-0093,Pacific Technologies,Construction,Lahore,SMB,260000,30,Active,Matthew Palmer,accounts93@example-business.pk,+92-346-2964137,2022-06-28,13,8778332.58
CUS-0094,National Manufacturing,Construction,Sialkot,Mid-Market,1070000,45,Active,Javier Hall,accounts94@example-business.pk,+92-324-6097559,2024-04-23,32,32198202.64
CUS-0095,Modern Technologies,Food & Beverage,Karachi,Enterprise,3660000,45,Active,Robert Yang,accounts95@example-business.pk,+92-312-2916491,2024-08-30,39,120105888.46
CUS-0096,National Enterprises,Manufacturing,Karachi,Enterprise,2870000,30,Active,Daniel Jones,accounts96@example-business.pk,+92-328-5254994,2024-04-20,37,72760267.61
CUS-0097,Summit Group,Healthcare,Faisalabad,Mid-Market,1310000,45,Active,Adam Barber,accounts97@example-business.pk,+92-323-8411556,2025-02-07,20,23814644.84
CUS-0098,Eastern Technologies,Manufacturing,Gujranwala,Mid-Market,1750000,45,Active,Matthew Rivas,accounts98@example-business.pk,+92-314-7413863,2023-08-13,24,23971028.64
CUS-0099,National Solutions,Financial Services,Karachi,SMB,360000,15,Active,David Wilson,accounts99@example-business.pk,+92-315-6836959,2024-11-17,6,2908276.6
CUS-0100,Modern Engineering,Education,Karachi,Mid-Market,1830000,45,Active,William Wiley,accounts100@example-business.pk,+92-332-1893712,2024-10-20,32,31050290.94
CUS-0101,Nexus Supplies,Retail,Lahore,SMB,420000,30,Active,Cathy Coleman,accounts101@example-business.pk,+92-332-3736643,2023-08-31,12,6184643.86
CUS-0102,Modern Corporation,Logistics,Karachi,Mid-Market,1880000,45,Active,Andrea Lucas,accounts102@example-business.pk,+92-320-3283024,2024-02-10,22,28875928.87
CUS-0103,Apex Services,Manufacturing,Lahore,Mid-Market,970000,30,Active,Tanya Grimes,accounts103@example-business.pk,+92-311-2349382,2024-04-09,21,28446560.49
CUS-0104,Crescent Services,Hospitality,Islamabad,Mid-Market,1590000,30,Active,Robert Harris,accounts104@example-business.pk,+92-346-8086979,2023-03-04,22,23536266.64
CUS-0105,Prime Systems,Financial Services,Faisalabad,SMB,700000,15,Active,Benjamin Davis,accounts105@example-business.pk,+92-318-8047474,2024-10-16,10,4616826.55
CUS-0106,Crescent Engineering,Food & Beverage,Islamabad,SMB,700000,15,Inactive,Henry Manning,accounts106@example-business.pk,+92-338-4900812,2022-05-12,3,574549.3
CUS-0107,Modern Group,Technology,Rawalpindi,SMB,290000,15,Active,Carol Roberts,accounts107@example-business.pk,+92-346-2690718,2022-05-22,9,2693134.45
CUS-0108,Elite Corporation,Construction,Karachi,Mid-Market,1360000,45,Active,Brian Martin,accounts108@example-business.pk,+92-319-3479708,2023-02-11,26,34249747.68
CUS-0109,Summit Trading,Education,Islamabad,SMB,730000,15,Active,Rachael Maldonado,accounts109@example-business.pk,+92-324-1807719,2024-10-08,8,4249100.2
CUS-0110,Nexus Services,Technology,Multan,Mid-Market,710000,30,Active,Jordan Kramer,accounts110@example-business.pk,+92-322-6643692,2023-07-03,19,14247488.03
CUS-0111,BlueWave Enterprises,Hospitality,Lahore,SMB,610000,30,Inactive,Connie Gray,accounts111@example-business.pk,+92-348-3390175,2023-02-13,2,500361.3
CUS-0112,Eastern Solutions,Healthcare,Karachi,SMB,290000,15,Active,Brittany Morrison,accounts112@example-business.pk,+92-316-1957723,2023-10-28,11,6650550.8
CUS-0113,Crescent Corporation,Logistics,Karachi,Enterprise,2820000,60,Active,Robert Walker,accounts113@example-business.pk,+92-337-7816941,2024-10-10,39,118698857.81
CUS-0114,Global Industries,Hospitality,Rawalpindi,SMB,230000,15,Active,Michael George,accounts114@example-business.pk,+92-310-9232138,2024-03-12,7,2962381.1500000004
CUS-0115,National Supplies,Logistics,Peshawar,Mid-Market,1160000,30,Active,Mary Baker MD,accounts115@example-business.pk,+92-349-1439812,2024-08-19,30,36647946.89
CUS-0116,Global Technologies,Food & Beverage,Multan,Mid-Market,1480000,30,Active,Misty Lee,accounts116@example-business.pk,+92-331-3118260,2025-02-02,30,29067610.77
CUS-0117,Alpha Supplies,Retail,Islamabad,Mid-Market,1460000,30,Active,Jamie White,accounts117@example-business.pk,+92-328-6683947,2022-11-23,26,22338569.3
CUS-0118,Global Enterprises,Manufacturing,Karachi,Mid-Market,870000,30,Active,Jeremy Buchanan,accounts118@example-business.pk,+92-334-5192997,2022-03-28,22,17462350.82
CUS-0119,Falcon Engineering,Healthcare,Karachi,SMB,580000,30,Active,Elizabeth Day,accounts119@example-business.pk,+92-312-6315605,2024-08-29,9,2799768.15
CUS-0120,Vertex Solutions,Hospitality,Faisalabad,Enterprise,4060000,30,Active,Nicholas Cohen,accounts120@example-business.pk,+92-320-3564956,2024-07-03,45,117765913.05
